IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
46628,Sedimentary,Conventional Hydrocarbon,Kinsey,30139.0,36.13107,-120.21477,California,Fresno,San Joaquin Basin,Pacific Coast,Dessel 24-2,4019048100000.0,4023.3,,,,7.12,28.607,48.147,48.132,385.0,570.0,17780.0,28.0,0.0,,535.0,10800.0,22.0,87.81400000000001,0.16435,3.2,Pacific,3.3625523127613772
46629,Sedimentary,Conventional Hydrocarbon,Stevens,32476.0,35.3826,-119.25788,California,Kern,San Joaquin Basin,Pacific Coast,Sturdevant 61 - 26,4029042690000.0,8754.0,8810.0,,,7.15,101.561,17.2428948,164.278,3408.0,620.0,14400.0,1.0,350.0,,98.0,10200.0,62.0,137.37802000000002,0.10423,3.0,Pacific,3.674581902014134
46630,Sedimentary,Conventional Hydrocarbon,Unknown,16370.0,35.07756,-119.38853,California,Kern,San Joaquin Basin,Pacific Coast,Ethyl D No. 101,4029196890000.0,2708.0,2828.0,,1950-10-15,7.52,69.72200000000001,18.154,26.269,4720.0,128.0,7680.0,30.0,61.0,,106.0,5800.0,145.0,5.918,4.4506,-5.0,Pacific,1.1501492779019942
46633,Sedimentary,Conventional Hydrocarbon,Obispo,17956.0,35.08,-119.39,California,Kern,San Joaquin Basin,Pacific Coast,Ethel D Lease,,7085.1,,,1951-02-25,6.9,71.59,3.5475699999999994,66.23400000000001,4802.0,320.0,8370.0,35.0,150.0,,136.0,6250.0,1341.4969999999998,17.2257,0.5603,-1.9,Pacific,1.2343223886330033
46634,Sedimentary,Conventional Hydrocarbon,Unknown,11421.0,35.08065,-119.40425,California,Kern,San Joaquin Basin,Pacific Coast,No. 348,4029195170000.0,3035.0,3270.0,,1957-10-01,6.8,61.355,9.584,19.764000000000003,2596.0,190.0,5400.0,16.330000000000002,0.0,,47.0,4240.0,88.0,11.285,4.32175672,0.3,Pacific,1.8063684047447495
46635,Sedimentary,Conventional Hydrocarbon,Unknown,10132.0,35.78628,-120.02249,California,Kern,San Joaquin Basin,Pacific Coast,Alferitz 32 - 3,4029175150000.0,3828.0,3830.0,,1956-08-17,7.5,13.527,10.741,16.824,1132.0,112.0,4970.0,170.84239999999997,0.0,,34.0,3520.0,31.0,6.962000000000001,12.3065,0.7,Pacific,1.6333038810362264
46636,Sedimentary,Conventional Hydrocarbon,Unknown,14917.0,35.1,-119.5,California,Kern,San Joaquin Basin,Pacific Coast,,,3300.0,3500.0,,1957-10-14,7.2,32.461,10.602999999999998,36.762,2016.0,162.0,8100.0,16.174,0.0,,8.0,5850.0,140.0,6.057,2.6336,-0.2,Pacific,1.089161931734958
46637,Sedimentary,Conventional Hydrocarbon,Unknown,18607.0,35.09287,-119.39485,California,Kern,San Joaquin Basin,Pacific Coast,Fried Lease No. 4,4029193830000.0,3038.0,3080.0,,1959-01-10,7.1,18.165170000000003,2.32516,75.0,1456.0,204.0,10700.0,217.14300000000003,174.0,,177.0,6860.0,107.0,17.1154,56.145877718,-0.2,Pacific,0.9418360123791336
46638,Sedimentary,Conventional Hydrocarbon,Unknown,17487.0,35.08,-119.42,California,Kern,San Joaquin Basin,Pacific Coast,,,2630.0,2771.0,,1959-12-01,6.9,61.314,20.16,47.074,2585.0,101.0,9380.0,12.272,65.0,,31.0,6640.0,19.0,12.266,4.28126,-1.5,Pacific,1.009329007181974
46641,Sedimentary,Conventional Hydrocarbon,Unknown,26450.0,35.1,-119.5,California,Los Angeles,San Joaquin Basin,Pacific Coast,Unit No. 9,,3040.0,3072.0,,1958-11-11,7.85,27.810400000000005,73.474,56.0,1756.0,276.0,14000.0,12.412,230.0,,270.0,8450.0,260.0,202.0,4.1381000000000006,-1.9,Pacific,1.017239624348882
