IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
76838,Sedimentary,Conventional Hydrocarbon,Hoover,205291.0,35.399,-97.494,Oklahoma,Oklahoma,Nemaha Uplift,Midcontinent,,,4144.0,,Pennsylvanian,,,38.374,65.47800000000001,465.707,35.0,11789.0,126813.0,73.14199999999998,0.0,,2308.0,64325.0,21.0,322.236,0.6456069199999999,0.0,Oklahoma Platform,4.725238511831964
76839,Sedimentary,Conventional Hydrocarbon,Hoover,204075.0,35.399,-97.494,Oklahoma,Oklahoma,Nemaha Uplift,Midcontinent,,,4131.0,,Pennsylvanian,,,39.39,45.720000000000006,492.56000000000006,33.0,12006.0,126039.0,34.59400000000001,0.0,,2226.0,63751.0,20.0,353.946,0.74560692,0.0,Oklahoma Platform,6.908071400988046
76840,Sedimentary,Conventional Hydrocarbon,Mississippi Chat,232427.0,36.352,-97.247,Oklahoma,Noble,Nemaha Uplift,Midcontinent,,,4674.0,4775.0,Mississippian,,,24.41,6.859999999999999,671.818,128.0,18100.0,144000.0,98.704,0.0,,3420.0,66700.0,379.0,220.105,6.971920000000002,0.2,Oklahoma Platform,3.980070147042367
76841,Sedimentary,Conventional Hydrocarbon,Layton,233067.0,36.347,-97.158,Oklahoma,Noble,Nemaha Uplift,Midcontinent,,,3195.0,3218.0,Pennsylvanian,,,13.304000000000002,4.18,873.342,7.0,16700.0,144000.0,381.561,0.0,,2760.0,69200.0,400.0,369.779,154.778,0.0,Oklahoma Platform,5.135274449706713
76842,Sedimentary,Conventional Hydrocarbon,Layton,262108.0,36.344,-97.202,Oklahoma,Noble,Nemaha Uplift,Midcontinent,,,3366.0,3400.0,Pennsylvanian,,,15.097,14.496,577.007,48.0,19300.0,162000.0,106.37899999999998,0.0,,2960.0,77500.0,300.0,315.994,4.209,0.0,Oklahoma Platform,4.253832975904787
76843,Sedimentary,Conventional Hydrocarbon,Layton,252245.0,36.344,-97.202,Oklahoma,Noble,Nemaha Uplift,Midcontinent,,,3475.0,,Pennsylvanian,,5.5,6.149569999694998,24.908,653.301,55.0,17521.0,157088.0,344.609,0.0,,5255.0,71999.0,327.0,237.07400000000007,189.787,0.0,Oklahoma Platform,17.57473327944737
76844,Sedimentary,Conventional Hydrocarbon,Layton,262215.0,36.344,-97.202,Oklahoma,Noble,Nemaha Uplift,Midcontinent,,,3308.0,3320.0,Pennsylvanian,,,8.596999999999998,12.886,649.55,26.0,18100.0,162000.0,357.435,0.0,,3190.0,78500.0,399.0,143.26000000000002,190.417,0.0,Oklahoma Platform,6.58340962215797
76845,Sedimentary,Conventional Hydrocarbon,Layton,252867.0,36.344,-97.202,Oklahoma,Noble,Nemaha Uplift,Midcontinent,,,3404.0,3436.0,Pennsylvanian,,,10.796,44.676,501.7709999999999,12.0,17000.0,156000.0,450.475,0.0,,2850.0,76500.0,505.0,241.28900000000004,190.417,0.0,Oklahoma Platform,3.085137584687096
76846,Sedimentary,Conventional Hydrocarbon,Prue,223448.0,35.84,-97.139,Oklahoma,Logan,Cherokee Platform,Midcontinent,,,4461.0,4489.0,Pennsylvanian,,,28.241,7.968000000000001,825.801,73.0,14200.0,138000.0,47.878,0.0,,2770.0,68100.0,305.0,264.86,3.23292,0.0,Oklahoma Platform,3.236700979325513
76847,Sedimentary,Conventional Hydrocarbon,Wilcox,215000.0,35.841,-97.172,Oklahoma,Logan,Nemaha Uplift,Midcontinent,,,5700.0,,Paleogene,,7.15,41.015,36.492,495.813,60.0,12390.0,132470.0,39.737,0.0,,2330.0,67505.0,330.0,363.7,2.08292,0.0,Oklahoma Platform,4.881163637414298
76848,Sedimentary,Conventional Hydrocarbon,Red Fork,116090.0,35.796,-96.123,Oklahoma,Okmulgee,Cherokee Platform,Midcontinent,,,1351.0,1415.0,Pennsylvanian,,,18.056,23.396,346.3792,91.0,8030.0,71800.0,27.97808,0.0,,1430.0,34700.0,39.0,491.12700000000007,0.4186216,0.0,Oklahoma Platform,7.6594607348833845
76849,Sedimentary,Conventional Hydrocarbon,Dutcher,153258.0,35.769,-96.246,Oklahoma,Creek,Cherokee Platform,Midcontinent,,,2880.0,,Pennsylvanian,,,38.9,8.764,574.627776,91.0,10461.0,94462.0,23.298,0.0,,1642.0,46309.0,293.0,444.401,0.36410288,0.0,Oklahoma Platform,6.756540011418616
76850,Sedimentary,Conventional Hydrocarbon,Red Fork,165000.0,35.96,-96.278,Oklahoma,Creek,Cherokee Platform,Midcontinent,,,1800.0,,Pennsylvanian,,5.5,1.1746,46.687,418.404,25.0,11830.0,102200.0,158.328,0.0,,2070.0,48852.0,645.8280000000001,148.598,33.45,0.0,Oklahoma Platform,4.052140574081441
76851,Sedimentary,Conventional Hydrocarbon,Unknown,126644.0,36.1991,-95.9809,Oklahoma,Tulsa,Cherokee Platform,Midcontinent,G. O. Wenoma Payne #16,,1243.0,,,,,26.686,77.786,188.843,46.0,6825.0,78396.0,25.344,0.0,,2246.0,39122.0,9.0,267.341,1.1255969200000002,0.3,Oklahoma Platform,5.671091207344489
76859,Sedimentary,Conventional Hydrocarbon,Oil Creek,72603.0,34.698,-97.14,Oklahoma,Garvin,Southern Oklahoma,Midcontinent,,,3807.0,3817.0,Ordovician,,,18.348,49.256,197.096,717.0,2600.0,44200.0,12.519000000000002,0.0,,1110.0,23900.0,76.0,351.15500000000003,1.5545134399999998,0.0,Oklahoma Platform,10.063800434239653
76860,Sedimentary,Conventional Hydrocarbon,Simpson,65355.0,34.686,-97.289,Oklahoma,Garvin,Southern Oklahoma,Midcontinent,Mcelreath Suppett #1 Hyre,,3820.8,,Ordovician,,,11.493,35.863,53.599,712.0,2051.0,39681.0,120.821,0.0,,843.0,22069.0,2468.519,65.643,6.4186000000000005,0.0,Oklahoma Platform,2.160954903061233
76863,Sedimentary,Conventional Hydrocarbon,Washita,19534.0,34.8198,-99.4321,Oklahoma,Greer,Anadarko Basin,Midcontinent,Robertson & Casper #1,,902.0,920.0,,,,18.548,105.805,39.192,60.0,882.0,8719.0,332.67600000000004,0.0,,256.0,5939.0,3678.0,21.182,95.936,0.0,Oklahoma Platform,7.970656984082159
76864,Sedimentary,Conventional Hydrocarbon,Bromide,33229.0,34.788,-98.319,Oklahoma,Comanche,Southern Oklahoma,Midcontinent,Denver P & R #1 Hayes,,3005.0,3070.0,Ordovician,,,27.664,32.607,65.13199999999999,225.5,1059.0,20147.4,21.388,0.0,,294.18,11419.53,83.03,57.864,2.02834672,0.0,Oklahoma Platform,5.95633846974008
76865,Sedimentary,Conventional Hydrocarbon,Pennsylvanian,171763.0,34.749,-97.261,Oklahoma,Garvin,Southern Oklahoma,Midcontinent,,,4100.0,4116.0,Pennsylvanian,,,27.716999999999995,42.164,339.912,43.0,8030.0,106000.0,74.846,0.0,,2330.0,55200.0,160.0,204.224,1.3155969200000002,0.0,Oklahoma Platform,4.3170688543721925
76866,Sedimentary,Conventional Hydrocarbon,Pennsylvanian,196195.0,34.749,-97.261,Oklahoma,Garvin,Southern Oklahoma,Midcontinent,,,4177.0,,Pennsylvanian,,5.8,38.513,23.733,354.7060000000001,36.0,8090.0,120564.0,20.823,0.0,,1872.0,65436.0,197.0,333.45400000000006,6.43460692,0.0,Oklahoma Platform,4.03895070973164
76867,Sedimentary,Conventional Hydrocarbon,Pennsylvanian,155718.0,34.749,-97.261,Oklahoma,Garvin,Southern Oklahoma,Midcontinent,,,4212.0,,Pennsylvanian,,6.0,19.064,15.853,272.136,128.0,6339.0,95742.0,19.44,0.0,,1691.0,51698.0,120.0,321.87299999999993,0.9301314400000004,0.0,Oklahoma Platform,6.319139658858997
