IDUSGS,PLAYTYPE,WELLTYPE,FORMSIMPLE,TDS,LATITUDE,LONGITUDE,STATE,COUNTY,PROVINCE,REGION,WELLNAME,API,DEPTHUPPER,DEPTHLOWER,PERIOD,DATESAMPLE,PH,B,Ba,Br,HCO3,Ca,Cl,FeTot,K,Li,Mg,Na,SO4,Sr,Zn,CHARGEBAL,BASIN_CATEGORY,Predicted_Li
24806,Sedimentary,Conventional Hydrocarbon,Woodside,24992.0,41.45106,-110.91189,Wyoming,Uinta,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Amoco-chevron 1,49041200720000.0,9223.6,,,1983-09-01,8.09,70.5044,172.128,84.33599999999998,305.0,1107.0,16096.0,23.66,535.0,,184.0,8553.0,765.0,117.13,0.658,-2.0,Great Plains,29.385337829589844
24807,Sedimentary,Conventional Hydrocarbon,Tensleep,13686.0,41.64146,-106.12805,Wyoming,Carbon,Southwestern Wyoming,Rocky Mountains and Northern Great Plains,Harrison - Cooper 4,49007052630000.0,5661.0,,Permian,1958-02-07,8.1,19.3,32.31295000000001,17.126,1113.0,836.0,2591.0,174.708,0.0,,73.0,3796.0,5842.0,32.0105,30.3752,0.0,Great Plains,-45.858436584472656
24808,Sedimentary,Conventional Hydrocarbon,Bear River,14522.0,41.45466,-110.90667,Wyoming,Uinta,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Acg No 2,49041201170000.0,8420.3,,Cretaceous,1983-12-06,7.06,33.371500000000005,0.2150999999999999,60.55,1135.0,632.0,8151.0,9.415,565.0,,180.0,4434.0,1213.475,17.157999999999998,0.7306,1.0,Great Plains,63.550376892089844
24813,Sedimentary,Conventional Hydrocarbon,Twin Creek,236665.0,41.26017,-110.98108,Wyoming,Uinta,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Sanders Blaine S 1,49041201420000.0,7670.4,,,1980-05-18,3.6,52.051,126.09699999999998,1625.1,127.38,23230.0,145500.0,34.102,932.0,,1470.0,64732.0,800.0,711.5829,2.1072,0.0,Great Plains,15.269676208496094
24814,Sedimentary,Conventional Hydrocarbon,Twin Creek,144600.0,41.26017,-110.98108,Wyoming,Uinta,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Sanders Blaine S 1,49041201420000.0,12185.5,,,1980-05-25,5.7,290.083,135.49999999999997,517.14,134.0,10908.0,87500.0,36.449,4450.0,,1102.0,39865.0,640.0,2242.3,2.366,0.0,Great Plains,623.9805908203125
24816,Sedimentary,Conventional Hydrocarbon,Nugget,18614.0,41.38171,-110.8413,Wyoming,Uinta,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Painter Reservoir 32-9b,49041202100000.0,7016.2,,Jurassic,1988-01-25,7.3,48.632,26.80884000000001,45.57,262.0,570.0,7700.0,2.576,159.0,,63.0,6000.0,3860.0,21.87,2.310199999999999,-0.5,Great Plains,-39.223487854003906
24821,Sedimentary,Conventional Hydrocarbon,Twin Creek,31403.0,41.25215,-110.99119,Wyoming,Uinta,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Amoco-cities 2,49041202470000.0,9353.7,,,1980-03-20,7.4,39.644,25.2896,53.327,293.0,1340.0,15450.0,21.89001,440.0,,240.0,9789.0,4000.0,51.104,0.7253999999999998,0.0,Great Plains,-23.552101135253906
24822,Sedimentary,Conventional Hydrocarbon,Madison,38497.0,41.45284,-110.92934,Wyoming,Uinta,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,Champlin323 Amoco-b 1,49041202480000.0,11051.5,,Mississippian,1983-06-28,8.84,142.89,28.836179000000005,328.205616,39.0,2213.0,21957.0,67.06154999999998,1955.0,,643.0,11385.0,167.0,1287.558,22.5111654,6.4,Great Plains,400.2486877441406
24823,Sedimentary,Conventional Hydrocarbon,Unknown,329499.0,41.24761,-110.97833,Wyoming,Uinta,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,#1 Amoco Cities C Well,49041202640000.0,11348.0,11348.0,,1979-09-16,8.2,278.322,811.816,770.2,976.0,152.0,178000.0,522.1,548.0,,259.658,122529.0,15000.0,1939.2,166.82,0.0,Great Plains,426.0001525878906
24824,Sedimentary,Conventional Hydrocarbon,Unknown,329499.0,41.24761,-110.97833,Wyoming,Uinta,Wyoming Thrust Belt,Rocky Mountains and Northern Great Plains,#1 Amoco Cities C Well,49041202640000.0,6916.9,,,1979-09-16,8.2,30.551000000000005,396.7109,684.9,1183.0,101.0,182000.0,29.0,536.0,,322.81100000000004,123748.0,12000.0,1580.1,11.317,0.0,Great Plains,406.9825744628906
