Basin,MSE,R2,MAE,RMSE,Explained Variance
Appalachian,26088.12823170028,-6.140336766790841,79.48431376442656,161.5181978344864,-5.295420182199534
Permian,18400.14546602937,-2.618391859874312,63.861276656278626,135.64713585634374,-1.9961933434172279
Oklahoma Platform,44518.926302706146,-140.72249415060142,70.94858568664858,210.99508596814795,-139.92297804066914
Gulf Coast,2546.612677445154,0.5497763089811162,32.82054689709162,50.46397405521244,0.5573762301166263
Williston,3119.106303672156,-0.3532583122382442,39.91143896124142,55.84895973670554,-0.33281760323997034
Michigan,13114.29219110618,-31.80825132824019,91.73590267435709,114.51765012916647,-21.897704218167913
Pacific,1128.4430113661404,-107.97286580022109,23.745549948462124,33.59230583580324,-107.81727864163014
Illinois,52719.07263419869,-274.72739040709695,161.86103925323488,229.6063427568992,-209.8635198463942
Great Plains,27476.340422373614,0.26351154410609845,84.509182707163,165.75988785702532,0.28339511836612463
Anadarko,9516.412019862151,0.04406558074257949,67.59403836502219,97.55209900285155,0.24717961952055756
Rocky Mountain,3706.227048917174,-16.27710741926317,25.73142756825728,60.87878981153596,-15.567535803617154
Fort Worth,216638.04765265022,-175.77018056064958,338.9869401550293,465.44392535798573,-167.35453847408866
