Basin,MSE,R2,MAE,RMSE,Explained Variance
Anadarko,3899.6498734137326,0.6082757315185027,18.265856880057427,62.44717666487199,0.6137425071146132
Appalachian,1799.431032780529,0.507494617913804,24.85954502044044,42.41970099824525,0.5221366519528992
Fort_Worth,878.2869833687345,0.2833440371328968,17.823436785714286,29.635906994197672,0.3930152528047798
Great_Plains,40259.31954147454,-0.07912930283451214,57.355744486231146,200.6472515173695,0.005525299980461251
Gulf_Coast,1069.6878201254776,0.8108865149065416,14.551255494789551,32.70608231087113,0.8187572990663707
Illinois,136.78371007806436,0.2846039669225895,9.237887825396827,11.695456813569292,0.4097418266876558
Michigan,126.77340006566425,0.6828487950031692,7.924579665281649,11.259369434638169,0.6864688563167062
Oklahoma_Platform,151.82736870756224,0.5166695344974945,8.969311289425514,12.321824893560297,0.5536532259751188
Pacific,9.856069683017248,0.048207000205723105,1.68568908045977,3.139437797284292,0.04824719071834638
Permian,4854.220069409181,0.04541676490457691,15.456641112918069,69.67223313063232,0.05813306034915744
Rocky_Mountain,93.39795662826019,0.5646120682548084,4.370241780500263,9.664261825316002,0.5646545617057028
Williston,801.4384572342688,0.6522871783103985,13.224775087868013,28.30968839874909,0.6524720800683614
