Basin,MSE,R2,MAE,RMSE,Explained Variance
Appalachian,1087.1965763187145,0.7024336273698355,21.450349932272353,32.9726640767578,0.7058661363328248
Permian,4164.249386436146,0.18109962172931116,13.79404869738487,64.53099554815613,0.193706293291511
Oklahoma Platform,191.13594759644397,0.39153377080524754,8.652477870371266,13.825192497627075,0.41461593026244514
Gulf Coast,1996.1826336532858,0.647088573291478,14.235766944524682,44.67865971191712,0.6534919707849575
Williston,186.75943179945295,0.9189723821935933,8.59579878669433,13.665995455855127,0.9197052223548905
Michigan,80.54276800254887,0.7985047658849764,6.388123404340083,8.974562273590221,0.7993541346476527
Pacific,1.55263395279808,0.8500633442088517,0.77417923105577,1.246047331684507,0.8509174915361081
Illinois,75.51378455961576,0.6050533949855573,5.752628813391832,8.689866774560802,0.6441692863084607
Great Plains,40541.65426707822,-0.08669713257124667,57.31906194275559,201.34958223715842,-0.003166215652500304
Anadarko,2402.756634872374,0.7586403611382404,15.266910205395062,49.017921568262906,0.7604987311467332
Rocky Mountain,36.39508299164612,0.830339115742145,3.065119287604407,6.032833744737718,0.8405611622347705
Fort Worth,609.9876509787404,0.5022682840266108,14.220067951931807,24.69792807056374,0.5898936503688981
