Basin,MSE,R2,MAE,RMSE,Explained Variance
Anadarko,1853.936654623336,0.8137699528374271,15.386557879009336,43.057364696685,0.8163329281534587
Appalachian,1470.1071285725013,0.5976307733525963,26.61525398693922,38.34197606504523,0.6191525050028256
Fort Worth,155.19272446659457,0.87336736910755,6.529839556217194,12.457637194371754,0.9036525877961074
Great Plains,38280.95531645347,-0.026100318956620905,56.02993759888869,195.65519496413447,0.05321945479616397
Gulf Coast,828.376849049731,0.8535486429338272,15.436314866510237,28.7815365998713,0.857448019201755
Illinois,85.5829839884865,0.5523902136493563,6.542815910339355,9.251107176359298,0.5593659381691001
Michigan,158.13943556320777,0.6043798421402918,8.598033836205802,12.575350315725116,0.6045943667046568
Oklahoma Platform,193.49888147298464,0.38401155698950384,9.437256911502164,13.910387538562132,0.39610044005943723
Pacific,3.8128646759886053,0.6317946174810463,1.0331471902337566,1.9526558006951982,0.6431796139842888
Permian,4630.77160427882,0.08935794508827799,15.005552246017553,68.0497729921182,0.10502796428793992
Rocky Mountain,36.43761061600596,0.8301408671392793,3.433006858885717,6.036357396311617,0.8302087730136875
Williston,334.80202178361276,0.8547424887701214,11.693047084015115,18.297596065702532,0.854794301011591
