Basin,MSE,R2,MAE,RMSE,Explained Variance
Appalachian,4137.22696918085,-0.13236156991533332,42.62718175630533,64.32127928750212,-0.09865821440061717
Permian,11845.111958764233,-1.3293433614436165,85.35507727325577,108.8352514526623,-1.0341224290333901
Oklahoma Platform,1713608.2273666905,-5454.136773247737,341.8489790683634,1309.0485962586304,-5401.946079223986
Gulf Coast,5050.841477369781,0.10704579741036424,46.15482796680501,71.0692723852565,0.298163348094059
Williston,19202.165613157118,-7.331069126559509,107.91626651382438,138.57187886853927,-2.580817906622487
Michigan,165880.66135841105,-413.98651616381295,257.5713350556691,407.2844968304232,-412.61695902114013
Pacific,4491.667659289143,-432.75685978358456,52.00393854207007,67.01990494837442,-430.413678922574
Illinois,51318.28689794045,-267.4011045625425,185.27147741699218,226.5353987745413,-165.55032997893534
Great Plains,14399.139894778978,0.6140388368943521,64.82203592887291,119.9964161747299,0.6446258816962396
Anadarko,9709.66293801563,0.024653306050138823,71.90599939012866,98.53762194215786,0.30291820167082684
Rocky Mountain,3388.5537951362758,-14.796228116036737,35.38206219851542,58.21128580555729,-11.266101128472204
Fort Worth,159316.47032454846,-128.99748442485227,311.4550798034668,399.14467342625085,-126.06357078308312
