Basin,MSE,R2,MAE,RMSE,Explained Variance,"Percent of Predicted
Within 15 Percent of Actual"
Rocky_Mountain,43.59502963725514,0.7967755347830416,3.538620467468989,6.602653227094025,0.7967891983011988,33.81294964028777
Fort_Worth,91.06264749233259,0.9256955977310134,5.139543704986572,9.542675070038412,0.9452013396062888,75.0
Illinois,80.76089043060378,0.5776103703512665,6.489764152526855,8.98670631714444,0.5827615068203764,20.0
Gulf_Coast,887.3355242322651,0.8431251527056648,15.792263705575632,29.788177591659835,0.8488546318438015,54.49438202247191
Michigan,168.3932716561256,0.5787276432482179,8.752283413449925,12.976643312356458,0.5789201098665175,33.33333333333333
Pacific,3.516686186582121,0.6603963443329244,1.0225182089106788,1.8752829617372737,0.6741562126275651,37.93103448275862
Permian,4648.868479844383,0.0857991913079621,14.98512001706153,68.18261127182195,0.10022243545156895,49.48453608247423
Williston,331.9053309288463,0.8559992497123765,11.468731894644097,18.218269152936738,0.8560753891205541,41.584158415841586
Great_Plains,38700.993655183454,-0.03735921962359545,56.26654613623252,196.72568122943036,0.04339373795633805,92.3076923076923
Appalachian,1676.6557964416231,0.5410982757268961,27.887893840411238,40.94698763574218,0.5840923669923188,38.16793893129771
Oklahoma_Platform,193.86474427162602,0.38284686159708103,9.283921717101453,13.92353203291557,0.3927119532644302,29.411764705882355
Anadarko,1935.1368855880721,0.8056132972125094,15.774818691240164,43.99019078826633,0.8068650077778442,37.735849056603776
