Basin,MSE,R2,MAE,RMSE,Explained Variance,"Percent of Predicted
Within 15 Percent of Actual"
Rocky_Mountain,83.56444769518521,0.6104523764449548,3.999971574261971,9.141359182046465,0.6105407594054189,33.81294964028777
Fort_Worth,581.3218291931303,0.5256587389714706,14.663941713305082,24.110616524533963,0.5946441048967377,25.0
Illinois,196.2417937045676,-0.026369299824667403,10.138688623205088,14.008632827816125,0.25962332538607336,40.0
Gulf_Coast,6096.519163048429,-0.07782286025085328,22.05953774516324,78.08020980407538,-0.05132080453197152,58.98876404494382
Michigan,132.0456409211949,0.6696591389751777,7.198711682194668,11.491111387554943,0.6758946025820012,46.666666666666664
Pacific,13.923804265697141,-0.34461097139272723,1.873948131417637,3.7314614115245974,-0.33427104757632486,34.48275862068966
Permian,5480.308899969941,-0.07770371434607704,17.884389260086653,74.02910846396802,-0.06924905031399597,38.144329896907216
Williston,682.7841659486542,0.7037666375952439,11.99428319465179,26.130139034238876,0.7051075243448985,51.48514851485149
Great_Plains,39871.24413010937,-0.06872715116172268,57.180655553121014,199.67785087512678,0.014617969312910817,92.3076923076923
Appalachian,1237.3783540659697,0.661328782291387,25.198242805399584,35.1763891561651,0.6792417279877886,25.954198473282442
Oklahoma_Platform,175.85685123579648,0.44017357019921266,9.407608952712124,13.261102941904813,0.47743177678739757,27.450980392156865
Anadarko,3515.827647608427,0.6468311109784811,17.580954595547304,59.29441497821213,0.6545109829949916,62.264150943396224
