PC1,PC2,PC3,Li
-2.9502445502421066,-1.0532291776418303,0.02245531663287912,
-2.832170930556973,-1.1621970992649964,0.26178285811629043,
-3.027550098332497,-1.2924780143854206,0.3588996364612085,
-2.5194945262497788,-1.1195475296281059,0.10934486228688743,
-2.757937050807778,-1.2041236255358612,0.3129039349456724,
-2.7408142429628968,-1.152524779800177,0.027230166161826615,
-2.958329118822328,-1.4035939463535951,0.24120969044145787,
-2.9058342906002994,-1.5554359105880373,0.2732451382719096,
-3.3099349808283853,-1.500142966070696,0.4652074558480083,
-3.017559361089914,-1.4705496499979467,0.3568612388711988,
-3.1881999137287993,-1.7674669643300192,0.5249566990102924,
-3.056286882626289,-1.4829896482238545,0.4014099705524973,
-2.868056521195258,-1.1676008167875813,0.1059245504217536,
-2.5322472571419774,-1.408682862535155,0.12678971114900467,
-2.4978280041939835,-1.4144733008088441,0.13007394991784726,
-2.6626619106279685,-1.2470519291291975,0.13368278458638486,
-3.3210382529050717,-1.176588137245839,0.213446049720479,
-3.099521797361745,-1.033465764329129,0.06871848661550943,
-3.183719867766224,-1.1293246976289895,0.14205139114053628,
-2.6552975357528252,-1.1437560870436816,0.005697986024836013,
-2.8478120871623447,-1.0193783848864708,0.04541437815182671,
-2.622511610531693,-0.9910108844964445,-0.025349801191872027,
-2.44777323105859,-1.0863646594673906,-0.0018755447899797915,
-2.723512661627001,-1.3058455683928283,0.15238559875511867,
-2.708423270424675,-1.1197782021386766,0.07495247049446846,
-3.15740335398946,-1.2251299835643528,0.1831899886483821,
-2.548837148127548,-1.1345481815349363,-0.1419149796972541,
-2.8888132386738263,-0.8135942947829592,-0.1252595897556212,
-2.4656818089102734,-0.9177539078938461,-0.11480565357259853,
-2.5809693214283365,-1.0923876318986718,-0.019778545743438555,
-2.5878910422448156,-1.1428415588784406,-0.013683401268086988,
-2.2893946415438844,-0.9934713224687666,-0.16456130748902775,
-2.695851965677262,-1.3932443370309375,0.2996609643805312,
-3.4748240898335534,-1.45248590533287,0.5048274877639239,
-2.300203319245497,-1.344453441892696,0.18680514747423574,
-3.2370311893830195,-1.1566681771400014,0.1472396696445822,
-2.457504194795429,-1.2754843790221302,-0.044471555432348986,
-2.7130019933487377,-0.9687726788179555,-0.009998968509157673,
-2.609829965501567,-1.0455896229110986,-0.004304681987213023,
-2.78339004204652,-1.1317183063811593,0.07636458504565301,
-2.3145572529898617,-1.4577889654072205,-0.007765128144501442,
-2.890310247405151,-1.1200657941738161,0.06871061148317227,
-2.851608475746148,-1.3179571269954513,0.1891072589154646,
-2.769681833475127,-1.07669681481097,0.09112792561270386,
-2.9467038219761332,-1.1354936875004202,0.06819524106149004,
-2.837176608284908,-1.1221212271383347,0.04427544993574051,
-3.0078665765022143,-1.1337383712488136,0.12134137966458039,
-2.7863561993445662,-1.272408122751348,0.08501690085139868,
-3.0412161311121833,-1.329854941075891,0.17186231572323113,
-2.983582612633617,-0.9933713315191461,0.07308079054699138,
-2.7206511727210883,-1.1560569226461939,0.06353458538007659,
-2.5264277770157246,-1.5747340350702759,0.1262282393059913,
-2.867144533289198,-1.3396136463067847,0.17161232491814907,
-2.829236121855782,-1.085613241922258,0.08328842593202522,
-2.7340381164431045,-1.1784799010931226,0.07031559284876539,
-2.6677591571481347,-1.6094913432244535,0.4245435625587131,
-3.2727271856316515,-1.6598971919016867,0.6487971555092823,
-3.101813363018732,-1.7490237260670725,0.5517551864383065,
-3.16323685882205,-1.3890202727103063,0.405318424424533,
-2.7597520948156467,-1.421614309593623,0.383088821426232,
-3.230784316784005,-1.6270724175009161,0.6157490402817285,
-3.0393401273385336,-1.3497927346819916,0.35336186248867485,
-2.808999533289947,-1.1233621088529113,0.2579495732164179,
-3.154776836547952,-1.2204558993141108,0.43379272219493376,
-2.7581980233572714,-1.1432151376871582,0.23336629899354155,
-2.900604861683285,-1.2199635754836649,0.2761294401752061,
-2.6213282609411412,-1.1816043364149005,0.19295148321076744,
-3.2302382510662833,-1.1880004686200925,0.3029923108424104,
-2.78879033280114,-1.1376220217491737,0.1736348137998678,
-2.5616401945807565,-0.8981963933857923,-0.12573966600677353,
-3.2254394156803836,-1.8559070530730717,0.5817458931035318,
-2.7516574171374226,-1.2739319624295549,0.12352179102478286,
-3.0991050672445013,-1.5125559980125403,0.42756756680063085,
-3.2186311831583,-1.3444103401023204,0.35340029843466936,
-1.8581553480663446,-1.6558451590516547,0.2902971508171266,
-2.9913338186477225,-1.1947906010252778,0.37378763861766023,
-2.7227297153449954,-1.105086595824067,0.15500390814320297,
-1.5124987163026982,-1.0738037682053525,0.10223179614290544,
-1.3845618356542866,-1.0687407022733528,-0.09664333454303713,
